Recherche sur Recherche sur le Web : appartement appartement louer condo condo louer
Québec (Canada) De 2004 à ce jour

Intérêt dans le temps
Semaine,appartement,appartement louer,condo,condo louer
2005-01-23 - 2005-01-29,45,27,45,0
2005-01-30 - 2005-02-05,49,25,42,0
2005-02-06 - 2005-02-12,55,25,32,0
2005-02-13 - 2005-02-19,42,20,35,0
2005-02-20 - 2005-02-26,58,27,39,0
2005-02-27 - 2005-03-05,48,21,34,0
2005-03-06 - 2005-03-12,47,22,34,0
2005-03-13 - 2005-03-19,60,29,36,0
2005-03-20 - 2005-03-26,55,31,36,0
2005-03-27 - 2005-04-02,49,21,37,0
2005-04-03 - 2005-04-09,47,36,36,0
2005-04-10 - 2005-04-16,50,25,31,0
2005-04-17 - 2005-04-23,31,21,36,0
2005-04-24 - 2005-04-30,25,21,36,0
2005-05-01 - 2005-05-07,37,21,31,0
2005-05-08 - 2005-05-14,24,16,32,0
2005-05-15 - 2005-05-21,33,16,31,0
2005-05-22 - 2005-05-28,36,18,29,0
2005-05-29 - 2005-06-04,31,19,39,0
2005-06-05 - 2005-06-11,36,21,31,0
2005-06-12 - 2005-06-18,28,21,24,0
2005-06-19 - 2005-06-25,33,21,32,0
2005-06-26 - 2005-07-02,54,21,37,0
2005-07-03 - 2005-07-09,29,0,35,0
2005-07-10 - 2005-07-16,33,0,43,0
2005-07-17 - 2005-07-23,26,0,35,0
2005-07-24 - 2005-07-30,35,0,39,0
2005-07-31 - 2005-08-06,24,0,41,0
2005-08-07 - 2005-08-13,29,20,42,0
2005-08-14 - 2005-08-20,38,22,45,0
2005-08-21 - 2005-08-27,29,23,34,0
2005-08-28 - 2005-09-03,32,23,35,0
2005-09-04 - 2005-09-10,33,23,43,0
2005-09-11 - 2005-09-17,28,18,36,0
2005-09-18 - 2005-09-24,29,16,35,0
2005-09-25 - 2005-10-01,30,0,35,0
2005-10-02 - 2005-10-08,29,0,40,0
2005-10-09 - 2005-10-15,32,0,37,0
2005-10-16 - 2005-10-22,29,0,30,0
2005-10-23 - 2005-10-29,25,0,38,0
2005-10-30 - 2005-11-05,27,15,35,0
2005-11-06 - 2005-11-12,25,13,34,0
2005-11-13 - 2005-11-19,29,13,37,0
2005-11-20 - 2005-11-26,20,13,27,0
2005-11-27 - 2005-12-03,32,13,31,0
2005-12-04 - 2005-12-10,27,15,30,0
2005-12-11 - 2005-12-17,26,16,30,0
2005-12-18 - 2005-12-24,27,17,21,0
2005-12-25 - 2005-12-31,29,18,37,0
2006-01-01 - 2006-01-07,42,20,47,0
2006-01-08 - 2006-01-14,46,27,35,0
2006-01-15 - 2006-01-21,63,31,48,0
2006-01-22 - 2006-01-28,57,23,46,0
2006-01-29 - 2006-02-04,51,26,49,0
2006-02-05 - 2006-02-11,48,21,49,0
2006-02-12 - 2006-02-18,62,30,40,0
2006-02-19 - 2006-02-25,62,35,43,0
2006-02-26 - 2006-03-04,63,35,42,0
2006-03-05 - 2006-03-11,64,30,47,0
2006-03-12 - 2006-03-18,56,24,46,0
2006-03-19 - 2006-03-25,48,21,40,0
2006-03-26 - 2006-04-01,55,30,37,0
2006-04-02 - 2006-04-08,42,16,33,0
2006-04-09 - 2006-04-15,43,20,35,0
2006-04-16 - 2006-04-22,46,19,28,0
2006-04-23 - 2006-04-29,38,14,36,0
2006-04-30 - 2006-05-06,39,13,33,0
2006-05-07 - 2006-05-13,34,17,39,0
2006-05-14 - 2006-05-20,37,18,31,0
2006-05-21 - 2006-05-27,31,14,44,0
2006-05-28 - 2006-06-03,33,12,34,0
2006-06-04 - 2006-06-10,33,12,30,0
2006-06-11 - 2006-06-17,23,15,36,0
2006-06-18 - 2006-06-24,31,19,40,0
2006-06-25 - 2006-07-01,29,15,39,0
2006-07-02 - 2006-07-08,36,17,42,0
2006-07-09 - 2006-07-15,30,15,43,0
2006-07-16 - 2006-07-22,37,15,49,0
2006-07-23 - 2006-07-29,29,15,42,0
2006-07-30 - 2006-08-05,37,15,46,0
2006-08-06 - 2006-08-12,31,14,38,0
2006-08-13 - 2006-08-19,33,14,46,0
2006-08-20 - 2006-08-26,35,18,42,0
2006-08-27 - 2006-09-02,29,14,40,0
2006-09-03 - 2006-09-09,29,13,41,0
2006-09-10 - 2006-09-16,31,13,40,0
2006-09-17 - 2006-09-23,32,14,41,0
2006-09-24 - 2006-09-30,29,14,37,0
2006-10-01 - 2006-10-07,33,13,37,0
2006-10-08 - 2006-10-14,35,12,39,0
2006-10-15 - 2006-10-21,24,10,36,0
2006-10-22 - 2006-10-28,32,15,33,0
2006-10-29 - 2006-11-04,28,14,33,0
2006-11-05 - 2006-11-11,30,11,35,0
2006-11-12 - 2006-11-18,34,15,39,0
2006-11-19 - 2006-11-25,31,15,31,0
2006-11-26 - 2006-12-02,33,14,35,0
2006-12-03 - 2006-12-09,30,15,32,0
2006-12-10 - 2006-12-16,35,13,28,0
2006-12-17 - 2006-12-23,27,11,23,0
2006-12-24 - 2006-12-30,33,16,30,0
2006-12-31 - 2007-01-06,42,22,42,0
2007-01-07 - 2007-01-13,54,24,50,0
2007-01-14 - 2007-01-20,50,25,40,0
2007-01-21 - 2007-01-27,49,21,46,0
2007-01-28 - 2007-02-03,50,26,39,0
2007-02-04 - 2007-02-10,53,26,40,0
2007-02-11 - 2007-02-17,53,25,53,0
2007-02-18 - 2007-02-24,67,32,49,0
2007-02-25 - 2007-03-03,59,31,45,0
2007-03-04 - 2007-03-10,53,27,45,8
2007-03-11 - 2007-03-17,64,38,42,0
2007-03-18 - 2007-03-24,58,26,42,0
2007-03-25 - 2007-03-31,55,28,41,0
2007-04-01 - 2007-04-07,48,23,36,0
2007-04-08 - 2007-04-14,46,23,48,0
2007-04-15 - 2007-04-21,45,21,41,0
2007-04-22 - 2007-04-28,41,21,42,0
2007-04-29 - 2007-05-05,39,17,42,0
2007-05-06 - 2007-05-12,42,20,38,0
2007-05-13 - 2007-05-19,38,15,38,0
2007-05-20 - 2007-05-26,35,13,37,0
2007-05-27 - 2007-06-02,33,14,40,0
2007-06-03 - 2007-06-09,38,14,39,0
2007-06-10 - 2007-06-16,33,13,37,0
2007-06-17 - 2007-06-23,34,14,43,0
2007-06-24 - 2007-06-30,35,15,44,0
2007-07-01 - 2007-07-07,39,17,47,0
2007-07-08 - 2007-07-14,29,13,48,0
2007-07-15 - 2007-07-21,33,15,51,0
2007-07-22 - 2007-07-28,36,15,52,0
2007-07-29 - 2007-08-04,40,18,53,0
2007-08-05 - 2007-08-11,40,20,52,0
2007-08-12 - 2007-08-18,42,22,51,8
2007-08-19 - 2007-08-25,38,18,51,7
2007-08-26 - 2007-09-01,35,15,47,7
2007-09-02 - 2007-09-08,26,13,52,8
2007-09-09 - 2007-09-15,39,15,48,8
2007-09-16 - 2007-09-22,32,11,49,7
2007-09-23 - 2007-09-29,36,17,52,6
2007-09-30 - 2007-10-06,31,14,51,8
2007-10-07 - 2007-10-13,39,20,48,7
2007-10-14 - 2007-10-20,36,16,51,7
2007-10-21 - 2007-10-27,37,20,52,6
2007-10-28 - 2007-11-03,35,18,45,6
2007-11-04 - 2007-11-10,32,14,48,10
2007-11-11 - 2007-11-17,35,15,41,7
2007-11-18 - 2007-11-24,26,10,45,7
2007-11-25 - 2007-12-01,28,12,43,6
2007-12-02 - 2007-12-08,30,15,37,6
2007-12-09 - 2007-12-15,35,17,39,6
2007-12-16 - 2007-12-22,27,12,40,6
2007-12-23 - 2007-12-29,30,15,42,7
2007-12-30 - 2008-01-05,47,23,59,7
2008-01-06 - 2008-01-12,52,26,59,7
2008-01-13 - 2008-01-19,53,26,57,8
2008-01-20 - 2008-01-26,57,29,56,6
2008-01-27 - 2008-02-02,61,32,55,7
2008-02-03 - 2008-02-09,64,33,58,8
2008-02-10 - 2008-02-16,62,33,58,9
2008-02-17 - 2008-02-23,66,34,61,6
2008-02-24 - 2008-03-01,70,37,56,6
2008-03-02 - 2008-03-08,67,30,58,8
2008-03-09 - 2008-03-15,70,37,60,8
2008-03-16 - 2008-03-22,62,28,51,9
2008-03-23 - 2008-03-29,67,34,63,6
2008-03-30 - 2008-04-05,67,33,54,6
2008-04-06 - 2008-04-12,58,29,57,6
2008-04-13 - 2008-04-19,57,27,52,9
2008-04-20 - 2008-04-26,49,26,50,8
2008-04-27 - 2008-05-03,46,19,50,6
2008-05-04 - 2008-05-10,42,21,52,7
2008-05-11 - 2008-05-17,41,19,49,7
2008-05-18 - 2008-05-24,44,22,52,7
2008-05-25 - 2008-05-31,40,19,46,7
2008-06-01 - 2008-06-07,36,16,47,7
2008-06-08 - 2008-06-14,40,18,44,7
2008-06-15 - 2008-06-21,30,14,49,6
2008-06-22 - 2008-06-28,34,15,59,7
2008-06-29 - 2008-07-05,43,19,55,8
2008-07-06 - 2008-07-12,33,16,55,9
2008-07-13 - 2008-07-19,31,13,59,9
2008-07-20 - 2008-07-26,34,15,60,10
2008-07-27 - 2008-08-02,38,19,62,11
2008-08-03 - 2008-08-09,41,16,65,11
2008-08-10 - 2008-08-16,39,17,55,7
2008-08-17 - 2008-08-23,43,20,55,9
2008-08-24 - 2008-08-30,40,17,59,9
2008-08-31 - 2008-09-06,37,14,55,7
2008-09-07 - 2008-09-13,35,13,46,7
2008-09-14 - 2008-09-20,37,16,55,7
2008-09-21 - 2008-09-27,42,20,53,8
2008-09-28 - 2008-10-04,33,14,52,6
2008-10-05 - 2008-10-11,34,17,51,7
2008-10-12 - 2008-10-18,34,19,50,7
2008-10-19 - 2008-10-25,34,15,47,6
2008-10-26 - 2008-11-01,33,14,47,8
2008-11-02 - 2008-11-08,38,17,44,7
2008-11-09 - 2008-11-15,37,16,44,6
2008-11-16 - 2008-11-22,33,14,51,9
2008-11-23 - 2008-11-29,27,10,41,5
2008-11-30 - 2008-12-06,28,10,37,5
2008-12-07 - 2008-12-13,27,12,40,5
2008-12-14 - 2008-12-20,29,11,41,6
2008-12-21 - 2008-12-27,34,16,36,7
2008-12-28 - 2009-01-03,44,19,52,8
2009-01-04 - 2009-01-10,49,23,59,9
2009-01-11 - 2009-01-17,54,25,55,8
2009-01-18 - 2009-01-24,56,27,64,10
2009-01-25 - 2009-01-31,61,27,62,8
2009-02-01 - 2009-02-07,70,31,65,9
2009-02-08 - 2009-02-14,72,35,67,9
2009-02-15 - 2009-02-21,69,32,65,6
2009-02-22 - 2009-02-28,71,35,64,6
2009-03-01 - 2009-03-07,68,34,64,8
2009-03-08 - 2009-03-14,66,34,64,8
2009-03-15 - 2009-03-21,68,35,64,8
2009-03-22 - 2009-03-28,69,32,54,7
2009-03-29 - 2009-04-04,67,37,55,6
2009-04-05 - 2009-04-11,55,28,55,6
2009-04-12 - 2009-04-18,61,31,58,8
2009-04-19 - 2009-04-25,51,25,53,5
2009-04-26 - 2009-05-02,47,25,49,6
2009-05-03 - 2009-05-09,50,26,57,7
2009-05-10 - 2009-05-16,43,20,50,7
2009-05-17 - 2009-05-23,41,22,50,6
2009-05-24 - 2009-05-30,45,22,51,6
2009-05-31 - 2009-06-06,36,18,53,7
2009-06-07 - 2009-06-13,39,20,60,8
2009-06-14 - 2009-06-20,41,21,54,7
2009-06-21 - 2009-06-27,40,22,59,8
2009-06-28 - 2009-07-04,41,19,57,7
2009-07-05 - 2009-07-11,41,20,61,9
2009-07-12 - 2009-07-18,34,18,66,6
2009-07-19 - 2009-07-25,40,20,71,10
2009-07-26 - 2009-08-01,40,21,68,10
2009-08-02 - 2009-08-08,43,20,69,10
2009-08-09 - 2009-08-15,44,24,63,8
2009-08-16 - 2009-08-22,40,21,69,8
2009-08-23 - 2009-08-29,44,22,64,9
2009-08-30 - 2009-09-05,38,21,65,8
2009-09-06 - 2009-09-12,42,22,63,7
2009-09-13 - 2009-09-19,32,17,62,9
2009-09-20 - 2009-09-26,35,19,67,10
2009-09-27 - 2009-10-03,41,24,59,10
2009-10-04 - 2009-10-10,36,20,66,10
2009-10-11 - 2009-10-17,35,20,62,6
2009-10-18 - 2009-10-24,41,23,67,10
2009-10-25 - 2009-10-31,39,21,63,9
2009-11-01 - 2009-11-07,38,22,57,7
2009-11-08 - 2009-11-14,38,23,64,7
2009-11-15 - 2009-11-21,33,19,62,8
2009-11-22 - 2009-11-28,38,24,60,8
2009-11-29 - 2009-12-05,31,18,53,6
2009-12-06 - 2009-12-12,31,15,56,6
2009-12-13 - 2009-12-19,30,17,51,7
2009-12-20 - 2009-12-26,31,15,53,8
2009-12-27 - 2010-01-02,44,22,64,9
2010-01-03 - 2010-01-09,60,36,71,12
2010-01-10 - 2010-01-16,63,37,82,11
2010-01-17 - 2010-01-23,65,41,74,10
2010-01-24 - 2010-01-30,71,42,78,9
2010-01-31 - 2010-02-06,72,42,81,11
2010-02-07 - 2010-02-13,69,42,72,9
2010-02-14 - 2010-02-20,68,44,74,11
2010-02-21 - 2010-02-27,67,41,74,12
2010-02-28 - 2010-03-06,78,46,78,12
2010-03-07 - 2010-03-13,80,47,85,12
2010-03-14 - 2010-03-20,78,45,74,9
2010-03-21 - 2010-03-27,68,42,79,8
2010-03-28 - 2010-04-03,61,37,63,10
2010-04-04 - 2010-04-10,64,35,68,7
2010-04-11 - 2010-04-17,62,38,67,6
2010-04-18 - 2010-04-24,52,30,61,8
2010-04-25 - 2010-05-01,53,31,60,7
2010-05-02 - 2010-05-08,53,29,62,8
2010-05-09 - 2010-05-15,46,26,58,6
2010-05-16 - 2010-05-22,42,26,52,6
2010-05-23 - 2010-05-29,43,23,55,6
2010-05-30 - 2010-06-05,44,23,59,6
2010-06-06 - 2010-06-12,44,24,59,7
2010-06-13 - 2010-06-19,41,23,58,7
2010-06-20 - 2010-06-26,43,22,70,10
2010-06-27 - 2010-07-03,47,27,58,8
2010-07-04 - 2010-07-10,46,24,60,6
2010-07-11 - 2010-07-17,44,23,62,8
2010-07-18 - 2010-07-24,48,25,64,10
2010-07-25 - 2010-07-31,48,24,74,7
2010-08-01 - 2010-08-07,48,27,77,9
2010-08-08 - 2010-08-14,46,23,79,7
2010-08-15 - 2010-08-21,43,23,70,8
2010-08-22 - 2010-08-28,47,25,71,7
2010-08-29 - 2010-09-04,45,24,67,6
2010-09-05 - 2010-09-11,40,21,62,6
2010-09-12 - 2010-09-18,38,21,63,9
2010-09-19 - 2010-09-25,40,24,67,7
2010-09-26 - 2010-10-02,36,19,60,7
2010-10-03 - 2010-10-09,43,24,60,9
2010-10-10 - 2010-10-16,38,18,65,10
2010-10-17 - 2010-10-23,34,20,63,10
2010-10-24 - 2010-10-30,36,20,67,6
2010-10-31 - 2010-11-06,40,23,62,7
2010-11-07 - 2010-11-13,39,21,59,7
2010-11-14 - 2010-11-20,38,20,63,7
2010-11-21 - 2010-11-27,32,16,56,7
2010-11-28 - 2010-12-04,33,19,53,8
2010-12-05 - 2010-12-11,37,20,51,7
2010-12-12 - 2010-12-18,33,18,54,7
2010-12-19 - 2010-12-25,33,19,47,5
2010-12-26 - 2011-01-01,40,23,66,9
2011-01-02 - 2011-01-08,57,36,77,12
2011-01-09 - 2011-01-15,57,36,74,10
2011-01-16 - 2011-01-22,57,35,75,9
2011-01-23 - 2011-01-29,62,37,80,11
2011-01-30 - 2011-02-05,63,38,77,10
2011-02-06 - 2011-02-12,67,41,75,12
2011-02-13 - 2011-02-19,72,42,78,10
2011-02-20 - 2011-02-26,77,46,81,9
2011-02-27 - 2011-03-05,71,45,79,9
2011-03-06 - 2011-03-12,76,45,78,10
2011-03-13 - 2011-03-19,73,43,79,8
2011-03-20 - 2011-03-26,74,43,74,9
2011-03-27 - 2011-04-02,62,40,79,10
2011-04-03 - 2011-04-09,61,35,77,10
2011-04-10 - 2011-04-16,59,34,65,7
2011-04-17 - 2011-04-23,52,30,68,8
2011-04-24 - 2011-04-30,48,29,72,10
2011-05-01 - 2011-05-07,46,25,61,7
2011-05-08 - 2011-05-14,46,27,69,9
2011-05-15 - 2011-05-21,48,29,66,8
2011-05-22 - 2011-05-28,45,24,70,8
2011-05-29 - 2011-06-04,47,26,67,8
2011-06-05 - 2011-06-11,42,23,64,6
2011-06-12 - 2011-06-18,40,24,66,6
2011-06-19 - 2011-06-25,39,20,72,9
2011-06-26 - 2011-07-02,37,21,70,9
2011-07-03 - 2011-07-09,37,22,71,8
2011-07-10 - 2011-07-16,36,20,69,9
2011-07-17 - 2011-07-23,38,22,71,9
2011-07-24 - 2011-07-30,41,21,75,10
2011-07-31 - 2011-08-06,38,22,71,9
2011-08-07 - 2011-08-13,39,22,75,10
2011-08-14 - 2011-08-20,42,24,79,9
2011-08-21 - 2011-08-27,43,25,71,10
2011-08-28 - 2011-09-03,37,21,63,8
2011-09-04 - 2011-09-10,40,22,69,9
2011-09-11 - 2011-09-17,38,22,67,9
2011-09-18 - 2011-09-24,35,22,73,8
2011-09-25 - 2011-10-01,35,20,67,8
2011-10-02 - 2011-10-08,36,20,71,9
2011-10-09 - 2011-10-15,38,23,74,9
2011-10-16 - 2011-10-22,36,20,73,9
2011-10-23 - 2011-10-29,33,20,71,9
2011-10-30 - 2011-11-05,36,21,75,8
2011-11-06 - 2011-11-12,38,20,70,9
2011-11-13 - 2011-11-19,39,21,64,9
2011-11-20 - 2011-11-26,36,21,65,7
2011-11-27 - 2011-12-03,36,20,62,8
2011-12-04 - 2011-12-10,33,19,59,8
2011-12-11 - 2011-12-17,33,21,56,7
2011-12-18 - 2011-12-24,29,17,46,6
2011-12-25 - 2011-12-31,41,25,59,9
2012-01-01 - 2012-01-07,51,31,76,11
2012-01-08 - 2012-01-14,47,30,77,12
2012-01-15 - 2012-01-21,54,33,79,13
2012-01-22 - 2012-01-28,60,35,89,12
2012-01-29 - 2012-02-04,61,37,83,12
2012-02-05 - 2012-02-11,64,41,86,13
2012-02-12 - 2012-02-18,61,40,87,12
2012-02-19 - 2012-02-25,66,42,90,11
2012-02-26 - 2012-03-03,67,40,85,11
2012-03-04 - 2012-03-10,65,38,92,10
2012-03-11 - 2012-03-17,62,39,80,10
2012-03-18 - 2012-03-24,62,39,79,9
2012-03-25 - 2012-03-31,58,35,78,10
2012-04-01 - 2012-04-07,55,33,72,10
2012-04-08 - 2012-04-14,56,33,75,10
2012-04-15 - 2012-04-21,50,28,74,10
2012-04-22 - 2012-04-28,42,25,71,9
2012-04-29 - 2012-05-05,44,27,73,10
2012-05-06 - 2012-05-12,44,24,66,9
2012-05-13 - 2012-05-19,39,22,66,6
2012-05-20 - 2012-05-26,44,26,66,7
2012-05-27 - 2012-06-02,38,20,68,8
2012-06-03 - 2012-06-09,39,21,67,7
2012-06-10 - 2012-06-16,40,21,63,7
2012-06-17 - 2012-06-23,32,19,64,7
2012-06-24 - 2012-06-30,37,21,67,8
2012-07-01 - 2012-07-07,40,21,75,10
2012-07-08 - 2012-07-14,33,19,76,9
2012-07-15 - 2012-07-21,41,22,79,10
2012-07-22 - 2012-07-28,38,20,74,10
2012-07-29 - 2012-08-04,40,23,70,9
2012-08-05 - 2012-08-11,38,23,68,9
2012-08-12 - 2012-08-18,42,23,72,10
2012-08-19 - 2012-08-25,42,23,68,9
2012-08-26 - 2012-09-01,37,21,71,10
2012-09-02 - 2012-09-08,36,20,70,9
2012-09-09 - 2012-09-15,38,20,72,9
2012-09-16 - 2012-09-22,34,19,70,9
2012-09-23 - 2012-09-29,35,21,73,11
2012-09-30 - 2012-10-06,35,20,75,12
2012-10-07 - 2012-10-13,36,19,69,9
2012-10-14 - 2012-10-20,33,19,69,9
2012-10-21 - 2012-10-27,33,21,69,9
2012-10-28 - 2012-11-03,35,20,64,9
2012-11-04 - 2012-11-10,37,21,67,10
2012-11-11 - 2012-11-17,35,19,62,9
2012-11-18 - 2012-11-24,37,21,64,8
2012-11-25 - 2012-12-01,34,18,57,8
2012-12-02 - 2012-12-08,34,20,57,8
2012-12-09 - 2012-12-15,31,18,54,6
2012-12-16 - 2012-12-22,26,15,55,6
2012-12-23 - 2012-12-29,27,16,58,7
2012-12-30 - 2013-01-05,49,29,72,9
2013-01-06 - 2013-01-12,50,34,82,11
2013-01-13 - 2013-01-19,49,31,82,10
2013-01-20 - 2013-01-26,54,33,78,12
2013-01-27 - 2013-02-02,56,34,84,13
2013-02-03 - 2013-02-09,59,37,83,14
2013-02-10 - 2013-02-16,62,39,82,12
2013-02-17 - 2013-02-23,59,38,87,13
2013-02-24 - 2013-03-02,63,40,88,13
2013-03-03 - 2013-03-09,63,39,98,13
2013-03-10 - 2013-03-16,65,40,91,14
2013-03-17 - 2013-03-23,66,39,82,11
2013-03-24 - 2013-03-30,58,34,79,11
2013-03-31 - 2013-04-06,64,39,83,12
2013-04-07 - 2013-04-13,60,35,93,10
2013-04-14 - 2013-04-20,51,29,76,10
2013-04-21 - 2013-04-27,51,30,78,10
2013-04-28 - 2013-05-04,48,29,69,9
2013-05-05 - 2013-05-11,46,26,70,10
2013-05-12 - 2013-05-18,44,25,70,10
2013-05-19 - 2013-05-25,42,25,74,10
2013-05-26 - 2013-06-01,43,24,71,10
2013-06-02 - 2013-06-08,39,23,76,10
2013-06-09 - 2013-06-15,41,22,66,10
2013-06-16 - 2013-06-22,35,19,66,11
2013-06-23 - 2013-06-29,40,21,71,11
2013-06-30 - 2013-07-06,43,22,73,10
2013-07-07 - 2013-07-13,37,21,71,11
2013-07-14 - 2013-07-20,42,23,68,11
2013-07-21 - 2013-07-27,42,23,72,12
2013-07-28 - 2013-08-03,42,22,75,12
2013-08-04 - 2013-08-10,44,25,75,11
2013-08-11 - 2013-08-17,44,26,72,12
2013-08-18 - 2013-08-24,43,27,75,11
2013-08-25 - 2013-08-31,40,23,75,11
2013-09-01 - 2013-09-07,40,22,71,12
2013-09-08 - 2013-09-14,41,23,72,12
2013-09-15 - 2013-09-21,40,23,75,12
2013-09-22 - 2013-09-28,41,23,75,11
2013-09-29 - 2013-10-05,41,23,77,13
2013-10-06 - 2013-10-12,39,22,74,13
2013-10-13 - 2013-10-19,41,23,75,13
2013-10-20 - 2013-10-26,39,21,76,12
2013-10-27 - 2013-11-02,41,22,71,11
2013-11-03 - 2013-11-09,38,21,70,12
2013-11-10 - 2013-11-16,39,22,75,13
2013-11-17 - 2013-11-23,40,24,70,12
2013-11-24 - 2013-11-30,38,20,65,12
2013-12-01 - 2013-12-07,36,20,59,10
2013-12-08 - 2013-12-14,37,21,65,11
2013-12-15 - 2013-12-21,37,21,55,10
2013-12-22 - 2013-12-28,33,17,61,11
2013-12-29 - 2014-01-04,48,30,79,17
2014-01-05 - 2014-01-11,59,35,79,17
2014-01-12 - 2014-01-18,67,38,87,18
2014-01-19 - 2014-01-25,66,38,84,17
2014-01-26 - 2014-02-01,68,41,90,18
2014-02-02 - 2014-02-08,69,40,89,16
2014-02-09 - 2014-02-15,68,41,85,16
2014-02-16 - 2014-02-22,72,44,89,16
2014-02-23 - 2014-03-01,75,47,89,16
2014-03-02 - 2014-03-08,70,44,100,18
2014-03-09 - 2014-03-15,72,45,94,18
2014-03-16 - 2014-03-22,71,42,96,17
2014-03-23 - 2014-03-29,70,42,88,15
2014-03-30 - 2014-04-05,68,41,90,17
2014-04-06 - 2014-04-12,61,36,85,15
2014-04-13 - 2014-04-19,60,35,82,14
2014-04-20 - 2014-04-26,58,32,85,18
2014-04-27 - 2014-05-03,59,32,83,15
2014-05-04 - 2014-05-10,52,29,80,13
2014-05-11 - 2014-05-17,49,28,77,14
2014-05-18 - 2014-05-24,52,28,84,14
2014-05-25 - 2014-05-31,47,24,77,12
2014-06-01 - 2014-06-07,46,25,77,13
2014-06-08 - 2014-06-14,48,25,78,13
2014-06-15 - 2014-06-21,41,21,77,14
2014-06-22 - 2014-06-28,45,24,88,15
2014-06-29 - 2014-07-05,46,22,85,16
2014-07-06 - 2014-07-12,44,25,80,14
2014-07-13 - 2014-07-19,42,23,80,15
2014-07-20 - 2014-07-26,42,23,78,14
2014-07-27 - 2014-08-02,48,25,86,16
2014-08-03 - 2014-08-09,43,25,84,17
2014-08-10 - 2014-08-16,47,26,82,14
2014-08-17 - 2014-08-23,44,23,82,14
2014-08-24 - 2014-08-30,46,27,81,13
2014-08-31 - 2014-09-06,44,24,85,15
2014-09-07 - 2014-09-13,39,21,81,14
2014-09-14 - 2014-09-20,43,22,90,13
2014-09-21 - 2014-09-27,40,21,83,13
2014-09-28 - 2014-10-04,41,22,84,14
2014-10-05 - 2014-10-11,42,24,75,14
2014-10-12 - 2014-10-18,44,24,85,16
2014-10-19 - 2014-10-25,40,23,76,15
2014-10-26 - 2014-11-01,43,23,75,13
2014-11-02 - 2014-11-08,40,22,79,13
2014-11-09 - 2014-11-15,43,23,74,13
2014-11-16 - 2014-11-22,40,21,71,15
2014-11-23 - 2014-11-29,39,21,66,14
2014-11-30 - 2014-12-06,39,21,68,14
2014-12-07 - 2014-12-13,37,19,58,11
2014-12-14 - 2014-12-20,38,19,59,11
2014-12-21 - 2014-12-27,36,20,61,12
2014-12-28 - 2015-01-03,49,28,81,18
2015-01-04 - 2015-01-10,60,35,83,19
2015-01-11 - 2015-01-17,64,37,87,20
